ng-star-inserted src,marquee-text,event-id,marquee-text 2,marquee-text 3,event-source-type,event-time,Unnamed: 7,Unnamed: 8,full-date
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,42.4W,39,38.0,Default Section/SalÃ³n,Sistema,2023-08-25 19:58:03,,,2023-03-18 2023-08-25 19:58:03
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,39,38.0,Default Section/SalÃ³n,Sistema,2023-08-25 19:58:02,,,2023-03-18 2023-08-25 19:58:02
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,42.3W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 19:56:39,,,2023-03-18 2023-08-25 19:56:39
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 19:56:37,,,2023-03-18 2023-08-25 19:56:37
https://home.fibaro.com/assets/icon/fibaro/door_lock/door_lock0.png,AcciÃ³n: Abrir,65,Puerta,Default Section/Entrada,Usuario,2023-08-25 19:34:40,,,2023-03-18 2023-08-25 19:34:40
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:28,,,2023-03-18 2023-08-25 18:16:28
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:27,,,2023-03-18 2023-08-25 18:16:27
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,196.9W,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:22,,,2023-03-18 2023-08-25 18:16:22
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,194.4W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:22,,,2023-03-18 2023-08-25 18:16:22
https://home.fibaro.com/newProxyLite?user=743421&hc=YH-00052887&temp=ZTN0ustk_A1NqXRWuq_TiLua3j7Ru_E4BBWzHzMJNhg&req=%2Fassets%2Ficon%2Ffibaro%2Fblind%2Fblind100.png,Abierto,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:19,,,2023-03-18 2023-08-25 18:16:19
https://home.fibaro.com/newProxyLite?user=743421&hc=YH-00052887&temp=ZTN0ustk_A1NqXRWuq_TiLua3j7Ru_E4BBWzHzMJNhg&req=%2Fassets%2Ficon%2Ffibaro%2Fblind%2Fblind100.png,AcciÃ³n: Abrir,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:18,,,2023-03-18 2023-08-25 18:16:18
