intervalo,fecha_completa,49.0,23.0,25.0,37.0,40.0,50.0,51.0,35.0,24.0,21.0,43.0,46.0,34.0,20.0,26.0,29.0,27.0,31.0,65.0,42.0,28.0,30.0,36.0,48.0,22.0,41.0,4.0,3.0,2.0,1.0,47.0,53.0
2023-12-31 00:00:00,2023-12-31,440,1511,306,140,246,20,36,45,18,2,17,90,24,6,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-30 00:00:00,2023-12-30,160,631,122,45,84,20,23,12,17,10,4,24,19,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-29 00:00:00,2023-12-29,119,581,150,54,146,21,20,72,18,4,13,53,41,18,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-28 00:00:00,2023-12-28,96,656,132,59,135,19,23,34,17,11,29,64,0,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-27 00:00:00,2023-12-27,100,634,107,60,107,18,20,12,20,4,5,22,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-26 00:00:00,2023-12-26,119,494,106,53,117,24,22,55,19,9,12,62,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-25 00:00:00,2023-12-25,180,880,194,69,162,21,26,48,18,5,17,47,0,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-24 00:00:00,2023-12-24,107,765,150,88,145,21,19,18,17,4,29,45,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-23 00:00:00,2023-12-23,180,768,177,66,133,21,21,29,20,5,10,43,9,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-22 00:00:00,2023-12-22,50,662,146,96,203,22,20,29,18,9,42,76,14,8,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-21 00:00:00,2023-12-21,45,602,116,40,146,21,23,37,22,3,5,62,5,1,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-20 00:00:00,2023-12-20,62,560,134,69,130,20,25,32,13,4,13,48,11,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-19 00:00:00,2023-12-19,74,557,143,59,103,19,22,13,21,9,9,36,14,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-18 00:00:00,2023-12-18,40,499,77,49,79,19,26,1,19,5,11,26,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-17 00:00:00,2023-12-17,67,657,146,67,186,23,30,85,20,8,17,83,48,10,6,0,8,3,0,2,1,1,1,1,1,0,0,0,0,0,0,0
2023-12-16 00:00:00,2023-12-16,85,405,95,38,73,20,39,67,22,10,8,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15 00:00:00,2023-12-15,111,725,141,61,114,21,41,33,21,2,7,26,25,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
